dataset_id,title,formats_available,has_supported_format,sized_format,file_count,size_bytes,size_mb,errors
c777d53d-8916-4d9d-bae4-6d5140e0c569,N5000 Kartdata,FGDB;GML;POSTGIS;SOSI,True,FGDB,3,4238167,4.04,
7e1b827e-3ccd-48a8-91ce-cc8125d6e4c1,N5000 Raster,TIFF,False,TIFF,1,6226044,5.94,
8d0f9066-34f9-4423-be12-8e8523089313,NVDB Ruteplan nettverksdatasett,FGDB;SPATIALITE,True,FGDB,1,581737440,554.79,
b12d041d-03d4-4562-b333-bc9d7c9bd123,Nasjonale laksefjorder,FGDB;GML;SOSI,True,FGDB,174,26322974,25.10,
28c896d0-8a0d-4209-bf31-4931033b1082,Nasjonalt register over luftfartshindre,FGDB;GML;POSTGIS,True,FGDB,77,,,"access restricted (Norge digitalt-begrenset), size unavailable anonymously"
77512fbd-cfc5-497a-8c41-ebaf5f736ded,Naturtyper i Norge - Landskap,FGDB;GML;POSTGIS;SOSI,True,FGDB,681,124676268,118.90,
9f71a24b-9997-409f-8e42-ce6f0c62e073,Nettanlegg,FGDB;GML;POSTGIS;SOSI,True,FGDB,679,239694072,228.59,
e43e9a94-f1db-4629-8de5-908f0aaf7087,NiN grunntyper og hovedtyper av saltvannssjøbunn,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,391850,0.37,
a374f867-60c0-4524-9eda-b15ab4d12858,Norge,AI;EMF;JPEG;PPTX,False,AI,1,5576646,5.32,
870d142b-a8fd-4f26-9c72-948d79c1a454,Norges maritime grenser,AI;EMF;JPEG,False,AI,1,615863,0.59,
e106adf4-c9d8-4fce-a9b5-7886a4126d23,Norges maritime grenser,FGDB;GML;POSTGIS;SOSI,True,FGDB,2,3681964,3.51,
0a850dd9-3c45-4cde-b3c5-b61d6157871d,Norgesrelieff,TIFF,False,TIFF,1,138650517,132.23,
7d76ca2a-31c7-482c-8557-e477c9ac12a2,Nødhavner,FGDB;GML;SOSI,True,FGDB,303,679804,0.65,
f8fcb5a3-552b-40cc-a2d4-d3f0bf6a9f97,Organiske miljøgifter i marine sedimenter,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,45183,0.04,
02f4d2fd-c803-4be1-9c93-866b68c013de,Saltvannssjobunntyper,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,137503,0.13,
